variable,dataType,description,detail,allowedSuffix,measureUnit,allowedValues,valueInfo,provenance,expectedFileExt
id,id,Participant ID,"The participant ID is specific to this study, and is auto-assigned by REDCap.",NA,Integer,"[3300000,3309999],[3380000,3389999],[3390000,3399999]",One ID per participant (eligible and ineligible),"file: ""read2consent"", variable: ""record_id""",NA
consent,consent,"Participant consent status, study1","When data is transferred from raw to checked, value of 1 is assigned based on the value of ""study1-consent_complete"" or ""study1-consentes_complete"" == ""2""(indicating participant consented), otherwise 0.",NA,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""read2consent"", variable: """"",NA
assent,assent,"Participant assent status, study1","When data is transferred from raw to checked, value of 1 is assigned based on the value of ""study1-assent_complete""==""2"" (indicating participant assented), otherwise 0.",NA,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""read2consent"", variable: """"",NA
arrow-alert-nf-v1-2_psychopy,psychopy,arrow-alert-nf-v1-2 task status,"When data is transferred from raw to checked, value of 1 is assigned if ""{task name}"" file exists, otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",direct-psychopy,".psydat, .csv, .log"
reading-ranger-v2-1_psychopy,psychopy,reading-ranger-v1-2 task status,"When data is transferred from raw to checked, value of 1 is assigned if ""{task name}"" file exists, otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",direct-psychopy,".psydat, .csv, .log"
reading-ranger-v2-1_audacity,audacity,Audacity data status,"When hallMonitor is run value of 1 is assigned if data already exists in checked, otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",direct-audacity,.zip.gpg
evtppvt_qassess,qassess,EVTPPVT Q-Assess data status,"When data is transferred from raw to checked, value of 1 is assigned if data exists, otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",direct-qassess,.csv
info_qassess,qassess,EVTPPVT Q-Assess info status,"When data is transferred from raw to checked, value of 1 is assigned if data exists, otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",direct-qassess,.txt
all_eeg,eeg,Brain Vision EEG data status,"When data is transferred from raw to checked, value of 1 is assigned if data exists, otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",direct-eeg,".eeg, .vmrk, .vhdr"
iqs_status,visit_status,Status of participant's IQS visit (attended vs not attended),,s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, participant has not attended IQS | 1, participant has attended IQS","file: ""iqsclinician""; variable: ""iqsclchecklist""",NA
bbs_status,visit_status,Status of participant's BBS visit (attended vs not attended),,s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, participant has not attended BBS | 1, participant has attended BBS","file: ""bbsra""; variable: ""bbsradebrief""; id: ""bbsratrk_acid""",NA
iqs_data,visit_data,Status of participant's IQS data (present on HPC or not),,s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, IQS data does not exist | 1, IQS data exists","file: ""iqsclinician"", ""iqschild"", ""iqsparent""",NA
bbs_data,visit_data,Status of participant's BBS data (present on HPC or not),,s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, At least some BBS data does not exist | 1, All BBS data exists","variables: ""arrow-alert-nf-v1-2_psychopy"",""reading-ranger-v2-1_psychopy"",""reading-ranger-v2-1_audacity"",""evtppvt_qassess"",""info_qassess"",""all_eeg""",NA
